Train data size: 614
Test data size: 154
Feature columns: ['SkinThickness', 'BMI', 'Insulin', 'Glucose', 'BloodPressure', 'DiabetesPedigreeFunction', 'Pregnancies', 'Age']
[144]   validation_0-auc:0.88126        validation_1-auc:0.80296
[145]   validation_0-auc:0.88105        validation_1-auc:0.80259
[146]   validation_0-auc:0.88093        validation_1-auc:0.80296
[147]   validation_0-auc:0.88110        validation_1-auc:0.80241
[148]   validation_0-auc:0.88125        validation_1-auc:0.80185
[149]   validation_0-auc:0.88127        validation_1-auc:0.80204
[150]   validation_0-auc:0.88137        validation_1-auc:0.80185
[151]   validation_0-auc:0.88127        validation_1-auc:0.80204
[152]   validation_0-auc:0.88131        validation_1-auc:0.80222
[153]   validation_0-auc:0.88127        validation_1-auc:0.80222
[154]   validation_0-auc:0.88127        validation_1-auc:0.80222
[155]   validation_0-auc:0.88125        validation_1-auc:0.80278
[156]   validation_0-auc:0.88129        validation_1-auc:0.80241
[157]   validation_0-auc:0.88120        validation_1-auc:0.80370
[158]   validation_0-auc:0.88144        validation_1-auc:0.80426
[159]   validation_0-auc:0.88139        validation_1-auc:0.80389
[160]   validation_0-auc:0.88132        validation_1-auc:0.80389
[161]   validation_0-auc:0.88136        validation_1-auc:0.80370
[162]   validation_0-auc:0.88144        validation_1-auc:0.80389
[163]   validation_0-auc:0.88164        validation_1-auc:0.80389
[164]   validation_0-auc:0.88173        validation_1-auc:0.80389
[165]   validation_0-auc:0.88166        validation_1-auc:0.80370
[166]   validation_0-auc:0.88196        validation_1-auc:0.80315
[167]   validation_0-auc:0.88195        validation_1-auc:0.80259
[168]   validation_0-auc:0.88203        validation_1-auc:0.80278
[169]   validation_0-auc:0.88221        validation_1-auc:0.80389
[170]   validation_0-auc:0.88201        validation_1-auc:0.80463
[171]   validation_0-auc:0.88200        validation_1-auc:0.80519
[172]   validation_0-auc:0.88218        validation_1-auc:0.80519
[173]   validation_0-auc:0.88208        validation_1-auc:0.80519
[174]   validation_0-auc:0.88210        validation_1-auc:0.80519
[175]   validation_0-auc:0.88218        validation_1-auc:0.80556
[176]   validation_0-auc:0.88215        validation_1-auc:0.80574
[177]   validation_0-auc:0.88221        validation_1-auc:0.80556
[178]   validation_0-auc:0.88220        validation_1-auc:0.80500
[179]   validation_0-auc:0.88218        validation_1-auc:0.80556
[180]   validation_0-auc:0.88235        validation_1-auc:0.80463
[181]   validation_0-auc:0.88232        validation_1-auc:0.80537
[182]   validation_0-auc:0.88234        validation_1-auc:0.80481
[183]   validation_0-auc:0.88243        validation_1-auc:0.80444
[184]   validation_0-auc:0.88244        validation_1-auc:0.80519
[185]   validation_0-auc:0.88232        validation_1-auc:0.80500
[186]   validation_0-auc:0.88257        validation_1-auc:0.80519
[187]   validation_0-auc:0.88251        validation_1-auc:0.80574
[188]   validation_0-auc:0.88252        validation_1-auc:0.80574
[189]   validation_0-auc:0.88241        validation_1-auc:0.80574
[190]   validation_0-auc:0.88241        validation_1-auc:0.80556
[191]   validation_0-auc:0.88254        validation_1-auc:0.80574
[192]   validation_0-auc:0.88248        validation_1-auc:0.80611
[193]   validation_0-auc:0.88243        validation_1-auc:0.80611
[194]   validation_0-auc:0.88231        validation_1-auc:0.80574
[195]   validation_0-auc:0.88249        validation_1-auc:0.80574
[196]   validation_0-auc:0.88248        validation_1-auc:0.80556
[197]   validation_0-auc:0.88241        validation_1-auc:0.80574
[198]   validation_0-auc:0.88249        validation_1-auc:0.80519
[199]   validation_0-auc:0.88261        validation_1-auc:0.80574
[200]   validation_0-auc:0.88263        validation_1-auc:0.80574
[201]   validation_0-auc:0.88252        validation_1-auc:0.80574
[202]   validation_0-auc:0.88259        validation_1-auc:0.80593
[203]   validation_0-auc:0.88270        validation_1-auc:0.80556
[204]   validation_0-auc:0.88268        validation_1-auc:0.80556
[205]   validation_0-auc:0.88273        validation_1-auc:0.80574
[206]   validation_0-auc:0.88276        validation_1-auc:0.80574
[207]   validation_0-auc:0.88271        validation_1-auc:0.80593
[208]   validation_0-auc:0.88278        validation_1-auc:0.80574
[209]   validation_0-auc:0.88272        validation_1-auc:0.80574
[210]   validation_0-auc:0.88269        validation_1-auc:0.80556
[211]   validation_0-auc:0.88262        validation_1-auc:0.80574
[212]   validation_0-auc:0.88266        validation_1-auc:0.80574
[213]   validation_0-auc:0.88277        validation_1-auc:0.80574
[214]   validation_0-auc:0.88273        validation_1-auc:0.80611
[215]   validation_0-auc:0.88284        validation_1-auc:0.80593
[216]   validation_0-auc:0.88275        validation_1-auc:0.80593
[217]   validation_0-auc:0.88278        validation_1-auc:0.80574
[218]   validation_0-auc:0.88291        validation_1-auc:0.80611
[219]   validation_0-auc:0.88308        validation_1-auc:0.80593
[220]   validation_0-auc:0.88306        validation_1-auc:0.80593
[221]   validation_0-auc:0.88325        validation_1-auc:0.80574
[222]   validation_0-auc:0.88338        validation_1-auc:0.80593
[223]   validation_0-auc:0.88335        validation_1-auc:0.80556
